Year,Artist,Song,Release Date,Rank,Song Length,Label,Genre
2016,Justin Bieber,Love Yourself,11/8/15,1,3:53,Def Jam,Pop
2016,Justin Bieber,Sorry,10/23/15,2,3:20,Def Jam,Dancehall Pop
2016,Drake,One Dance,4/5/16,3,2:54,OVO Sound,Dancehall
2016,Rihanna,Work,1/27/16,4,3:39,Roc Nation,Dancehall
2016,Twenty One Pilots,Stressed Out,11/10/15,5,3:22,Fueled by Ramen,Rap Rock
